1	1	15
1	2	3
1	3	25
1	4	43
1	5	54
1	6	87
1	7	113
1	8	132
1	9	165
1	10	185
1	11	200
1	12	197
1	13	194
1	14	203
1	15	212
1	16	209
1	17	196
1	18	187
1	19	173
1	20	143
1	21	101
1	22	60
1	23	36
1	24	28
1	25	51
1	26	77
1	27	109
1	28	148
1	29	185
1	30	203
1	31	203
1	32	201
1	33	189
1	34	183
1	35	126
1	36	25
1	37	41
1	38	117
1	39	139
1	40	175
1	41	200
1	42	206
1	43	189
1	44	154
1	45	131
1	46	65
1	47	46
1	48	11
1	49	14
1	50	61
1	51	98
1	52	129
1	53	158
1	54	168
1	55	170
1	56	158
1	57	152
1	58	120
1	59	127
1	60	97
1	61	66
1	62	60
1	63	28
1	64	14
2	1	45
2	2	21
2	3	12
2	4	5
2	5	17
2	6	51
2	7	86
2	8	119
2	9	140
2	10	167
2	11	190
2	12	194
2	13	192
2	14	197
2	15	202
2	16	199
2	17	195
2	18	193
2	19	180
2	20	147
2	21	101
2	22	65
2	23	43
2	24	37
2	25	31
2	26	62
2	27	97
2	28	132
2	29	167
2	30	189
2	31	195
2	32	198
2	33	192
2	34	159
2	35	88
2	36	16
2	37	69
2	38	162
2	39	177
2	40	196
2	41	222
2	42	224
2	43	196
2	44	168
2	45	140
2	46	77
2	47	33
2	48	0
2	49	39
2	50	93
2	51	137
2	52	167
2	53	186
2	54	190
2	55	191
2	56	180
2	57	187
2	58	159
2	59	153
2	60	119
2	61	88
2	62	68
2	63	30
2	64	23
3	1	36
3	2	47
3	3	43
3	4	14
3	5	0
3	6	2
3	7	23
3	8	70
3	9	99
3	10	132
3	11	167
3	12	183
3	13	186
3	14	191
3	15	194
3	16	194
3	17	185
3	18	182
3	19	171
3	20	147
3	21	114
3	22	81
3	23	53
3	24	35
3	25	21
3	26	38
3	27	58
3	28	91
3	29	138
3	30	172
3	31	178
3	32	172
3	33	163
3	34	118
3	35	48
3	36	20
3	37	104
3	38	197
3	39	209
3	40	219
3	41	253
3	42	250
3	43	209
3	44	188
3	45	148
3	46	90
3	47	25
3	48	13
3	49	66
3	50	122
3	51	169
3	52	194
3	53	205
3	54	205
3	55	204
3	56	197
3	57	197
3	58	178
3	59	157
3	60	118
3	61	88
3	62	49
3	63	11
3	64	24
4	1	45
4	2	72
4	3	69
4	4	48
4	5	38
4	6	10
4	7	0
4	8	9
4	9	56
4	10	89
4	11	128
4	12	155
4	13	167
4	14	176
4	15	180
4	16	183
4	17	185
4	18	171
4	19	156
4	20	140
4	21	112
4	22	69
4	23	29
4	24	6
4	25	29
4	26	22
4	27	10
4	28	27
4	29	78
4	30	129
4	31	149
4	32	145
4	33	129
4	34	87
4	35	35
4	36	43
4	37	126
4	38	194
4	39	213
4	40	231
4	41	251
4	42	245
4	43	206
4	44	189
4	45	133
4	46	75
4	47	16
4	48	42
4	49	94
4	50	141
4	51	182
4	52	200
4	53	209
4	54	209
4	55	209
4	56	202
4	57	193
4	58	187
4	59	158
4	60	116
4	61	79
4	62	30
4	63	7
4	64	45
5	1	70
5	2	100
5	3	93
5	4	77
5	5	74
5	6	45
5	7	12
5	8	13
5	9	19
